id,stationName,longitude,latitude
506,Spaulding Ave & Armitage Ave,-87.7103566522,41.91718375155
507,Humboldt Blvd & Armitage Ave,-87.7018089555,41.91751339399
508,Central Park Ave & North Ave,-87.7166319516,41.90965687563
509,Troy St & North Ave,-87.7052804871,41.90976930169
510,Spaulding Ave & Division St,-87.709219571,41.90270659438
511,Albany Ave & Bloomingdale Ave,-87.705126462,41.91402671273
514,Ridge Blvd & Howard St,-87.68452,42.019276
515,Paulina St & Howard St,-87.673573,42.019159
517,Clark St & Jarvis Ave,-87.675005,42.015963
518,Conservatory Dr & Lake St,-87.716866,41.885502
519,Wolcott Ave & Fargo Ave,-87.677725,42.016977
520,Greenview Ave & Jarvis Ave,-87.66857,42.015962
522,Bosworth Ave & Howard St,-87.669563,42.019537
523,Eastlake Ter & Rogers Ave,-87.665086,42.021019
524,Austin Blvd & Chicago Ave,-87.774704,41.894887
525,Glenwood Ave & Touhy Ave,-87.666058,42.012701
526,Oakley Ave & Touhy Ave,-87.688243,42.012342
527,Western Ave & Howard St,-87.690048,42.018901
528,Pulaski Rd & Lake St,-87.726491,41.885409
529,Cicero Ave & Lake St,-87.745261,41.886841
530,Laramie Ave & Kinzie St,-87.755527,41.887832
531,Central Ave & Lake St,-87.765469,41.887664
532,Austin Blvd & Lake St,-87.774446,41.887919
533,Central Park Blvd & 5th Ave,-87.71547,41.875679
